Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword,Conversion_Rate_Recalc,CTR,CPC,CPA,ROI
A1000,Dataanalyticscourse,104.0,4498.0,231.88,14.0,7.0,0.058,1892.0,2024-11-16,Hyderabad,Desktop,learn data analytics,0.0673076923076923,0.023121387283236993,2.2296153846153848,33.12571428571429,7.159392789373814
A1001,Dataanalyticscourse,173.0,5107.0,216.84,10.0,8.0,0.046,1679.0,2024-11-20,Hyderabad,Mobile,data analytics course,0.046242774566473986,0.033875073428627375,1.2534104046242776,27.105,6.743036340158643
A1002,Data Anlytics Corse,90.0,4544.0,203.66,26.0,9.0,0.1,1624.0,2024-11-16,Hyderabad,Desktop,data analitics online,0.1,0.019806338028169015,2.262888888888889,22.628888888888888,6.974074437788471
A1003,Data Analytcis Course,142.0,3185.0,237.66,17.0,6.0,0.04225352112676056,1225.0,2024-11-26,Hyderabad,Tablet,data anaytics training,0.04225352112676056,0.0445839874411303,1.673661971830986,39.61,4.154422283935033
A1004,Data Analytics Corse,156.0,3361.0,195.9,30.0,8.0,0.05128205128205128,1091.0,2024-11-22,Hyderabad,Desktop,online data analytic,0.05128205128205128,0.046414757512645045,1.2557692307692307,24.4875,4.569167942827973
A1005,Dataanalyticscourse,195.0,3776.0,243.57,10.0,8.0,0.041025641025641026,1315.0,2024-11-16,Hyderabad,Mobile,data anaytics training,0.041025641025641026,0.051641949152542374,1.249076923076923,30.44625,4.3988586443322255
A1006,Data Analytics Corse,116.0,4480.0,237.79,17.0,5.0,0.043,1640.0,2024-06-11,Hyderabad,Tablet,data analytics course,0.04310344827586207,0.025892857142857145,2.0499137931034483,47.558,5.896841751124943
A1007,Data Analytics Corse,184.0,5060.0,229.61,23.0,3.0,0.016,1509.0,2024-11-24,Hyderbad,Tablet,analytics for data,0.016304347826086956,0.03636363636363636,1.2478804347826087,76.53666666666668,5.57201341404991
A1008,Data Analytics Corse,113.0,5434.0,,27.0,4.0,0.058,1362.0,2024-11-24,Hyderbad,Tablet,data anaytics training,0.035398230088495575,0.020794994479205006,,,
A1009,Data Analytcis Course,166.0,3355.0,186.78,24.0,9.0,0.054,1029.0,2024-11-12,Hyderbad,Mobile,online data analytic,0.05421686746987952,0.04947839046199702,1.1251807228915662,20.753333333333334,4.509155155798266
A1010,Dataanalyticscourse,101.0,5399.0,236.79,20.0,6.0,0.059,1900.0,2024-11-14,Hyderabad,Desktop,learn data analytics,0.0594059405940594,0.018707167994072977,2.3444554455445545,39.464999999999996,7.023987499472106
A1011,Data Analytics Corse,101.0,3613.0,208.12,24.0,5.0,0.05,1130.0,2024-11-22,Hyderabad,Desktop,online data analytic,0.04950495049504951,0.027954608358704676,2.0605940594059406,41.624,4.4295598693061695
A1012,Data Analytcis Course,125.0,3259.0,191.3,18.0,3.0,0.024,1959.0,2024-11-27,Hydrebad,Desktop,data analitics online,0.024,0.03835532371893219,1.5304,63.76666666666667,9.240460010454782
A1013,Data Analytics Corse,196.0,3742.0,207.46,10.0,7.0,0.038,1623.0,2024-12-11,Hyderabad,Mobile,data anaytics training,0.03571428571428571,0.052378407268840195,1.0584693877551021,29.63714285714286,6.8231948327388405
A1014,Data Analytcis Course,181.0,4311.0,185.09,11.0,9.0,0.05,1538.0,2024-11-04,Hyderbad,Desktop,data anaytics training,0.049723756906077346,0.041985618186035724,1.022596685082873,20.565555555555555,7.309471068129018
A1015,Data Analytcis Course,102.0,5461.0,201.69,22.0,8.0,0.078,1755.0,2024-11-29,Hyderabad,Desktop,data analytics course,0.0784313725490196,0.01867789782091192,1.9773529411764705,25.21125,7.7014725568942435
A1016,Data Analytcis Course,193.0,5159.0,,15.0,9.0,0.047,1614.0,2024-11-10,Hydrebad,Mobile,learn data analytics,0.046632124352331605,0.03741035084318666,,,
A1017,Data Anlytics Corse,149.0,4431.0,207.4,19.0,9.0,0.06,1693.0,2024-12-11,Hyderabad,Mobile,learn data analytics,0.06040268456375839,0.0336267208305123,1.3919463087248323,23.044444444444444,7.162970106075217
A1018,Data Analytics Corse,150.0,3113.0,217.41,20.0,5.0,0.03333333333333333,1785.0,2024-11-07,Hyderabad,Mobile,analytics for data,0.03333333333333333,0.04818503051718599,1.4494,43.482,7.210293914723334
A1019,Data Analytcis Course,145.0,5278.0,,25.0,6.0,0.041,1516.0,2024-11-05,Hyderabad,Desktop,data analytics course,0.041379310344827586,0.027472527472527472,,,
A1020,Data Analytcis Course,184.0,4143.0,223.3,10.0,10.0,0.044,1735.0,2024-11-21,Hyderbad,Tablet,learn data analytics,0.05434782608695652,0.044412261646150135,1.2135869565217392,22.330000000000002,6.769816390506046
A1021,Data Analytics Corse,171.0,4154.0,184.23,30.0,7.0,0.041,1803.0,2024-11-08,Hyderabad,Tablet,data analitics online,0.04093567251461988,0.041165142031776604,1.0773684210526315,26.318571428571428,8.786679693860934
A1022,Data Analytcis Course,122.0,5187.0,211.24,27.0,6.0,0.049,1322.0,2024-11-20,Hyderabad,Desktop,online data analytic,0.04918032786885246,0.023520339309812992,1.7314754098360656,35.20666666666667,5.258284415830335
A1023,Data Anlytics Corse,188.0,5798.0,230.17,28.0,5.0,0.047,1452.0,2024-11-30,Hyderabad,Tablet,data analytics course,0.026595744680851064,0.032424974129010006,1.2243085106382978,46.034,5.308380762045445
A1024,Dataanalyticscourse,87.0,3718.0,,12.0,3.0,0.034,1652.0,2024-11-20,Hyderbad,Tablet,learn data analytics,0.034482758620689655,0.023399677245831092,,,
A1025,Dataanalyticscourse,88.0,3349.0,181.92,22.0,8.0,0.091,1456.0,2024-11-20,Hyderabad,Tablet,learn data analytics,0.09090909090909091,0.026276500447894893,2.067272727272727,22.74,7.003518029903255
A1026,Data Anlytics Corse,119.0,5323.0,205.92,17.0,10.0,0.06,1656.0,2024-11-02,Hyderbad,Desktop,online data analytic,0.08403361344537816,0.022355814390381364,1.7304201680672269,20.592,7.041958041958042
A1027,Data Analytics Corse,,5286.0,234.89,22.0,10.0,,1688.0,2024-11-21,Hyderabad,Desktop,data anaytics training,,,,23.488999999999997,6.18634254331815
A1028,Data Anlytics Corse,128.0,5469.0,188.49,16.0,3.0,0.0234375,1783.0,2024-11-23,Hyderbad,Mobile,learn data analytics,0.0234375,0.02340464435911501,1.472578125,62.830000000000005,8.459387765929227
A1029,Data Analytcis Course,86.0,3351.0,237.75,21.0,9.0,0.105,1975.0,2024-11-13,Hyderabad,Mobile,analytics for data,0.10465116279069768,0.025663980901223515,2.76453488372093,26.416666666666668,7.307045215562566
A1030,Data Analytics Corse,188.0,4834.0,213.58,15.0,4.0,0.021,1590.0,2024-11-08,Hyderbad,Tablet,online data analytic,0.02127659574468085,0.03889118742242449,1.136063829787234,53.395,6.444517276898586
A1031,Dataanalyticscourse,113.0,5065.0,212.37,11.0,5.0,0.04424778761061947,1111.0,2024-11-22,Hyderabad,Desktop,online data analytic,0.04424778761061947,0.022309970384995065,1.8793805309734513,42.474000000000004,4.231435701841126
A1032,Data Analytcis Course,,3872.0,244.38,20.0,4.0,,1041.0,2024-12-11,Hyderabad,Tablet,data analitics online,,,,61.095,3.2597593911122025
A1033,Data Analytics Corse,176.0,5509.0,234.59,19.0,7.0,0.054,1710.0,2024-11-03,Hyderbad,Tablet,data analytics course,0.03977272727272727,0.03194772190960247,1.3328977272727274,33.51285714285714,6.289313269960356
A1034,Data Analytcis Course,121.0,5610.0,214.96,23.0,8.0,0.06611570247933884,,2024-11-25,Hyderabad,Mobile,data analytics course,0.06611570247933884,0.021568627450980392,1.7765289256198349,26.87,
A1035,Dataanalyticscourse,104.0,5275.0,236.48,16.0,9.0,0.031,1824.0,2024-01-11,Hyderabad,Desktop,data anaytics training,0.08653846153846154,0.019715639810426542,2.273846153846154,26.275555555555556,6.713125845737483
A1036,Data Anlytics Corse,146.0,5939.0,242.9,11.0,8.0,0.035,1833.0,2024-11-07,Hyderabad,Desktop,data anaytics training,0.0547945205479452,0.02458326317561879,1.6636986301369863,30.3625,6.5463153561136265
A1037,Data Analytcis Course,123.0,5131.0,,19.0,5.0,0.041,1307.0,2024-09-11,Hydrebad,Mobile,learn data analytics,0.04065040650406504,0.02397193529526408,,,
A1038,Data Analytcis Course,90.0,5786.0,197.55,11.0,6.0,0.043,1704.0,2024-11-16,Hyderabad,Mobile,online data analytic,0.06666666666666667,0.015554787417905289,2.1950000000000003,32.925000000000004,7.625664388762338
A1039,Data Analytcis Course,171.0,4304.0,192.61,17.0,10.0,0.058,1427.0,2024-11-26,Hydrebad,Mobile,learn data analytics,0.05847953216374269,0.03973048327137547,1.126374269005848,19.261000000000003,6.408753439592958
A1040,Data Analytics Corse,94.0,5549.0,231.23,25.0,9.0,0.096,1849.0,2024-11-12,Hyderbad,Mobile,data anaytics training,0.09574468085106383,0.016939989187240944,2.4598936170212764,25.69222222222222,6.996367253384077
A1041,Data Analytics Corse,112.0,4271.0,196.07,27.0,6.0,0.05357142857142857,1209.0,2024-11-14,Hyderabad,Desktop,data analitics online,0.05357142857142857,0.026223366892999297,1.7506249999999999,32.678333333333335,5.16616514510124
A1042,Data Analytcis Course,113.0,4418.0,191.55,27.0,10.0,0.08849557522123894,1634.0,2024-11-09,Hyderbad,Mobile,data analytics course,0.08849557522123894,0.02557718424626528,1.695132743362832,19.155,7.530409814669799
A1043,Data Anlytics Corse,145.0,3721.0,180.95,21.0,7.0,0.048,1960.0,2024-11-29,Hydrebad,Desktop,data analitics online,0.04827586206896552,0.038968019349637194,1.2479310344827585,25.849999999999998,9.831721470019342
A1044,Dataanalyticscourse,197.0,5783.0,204.46,23.0,6.0,0.030456852791878174,1729.0,2024-01-11,Hydrebad,Tablet,data anaytics training,0.030456852791878174,0.03406536399792495,1.0378680203045685,34.07666666666667,7.456421793993934
A1045,Dataanalyticscourse,109.0,4866.0,236.78,27.0,5.0,0.045871559633027525,1585.0,2024-11-15,Hyderabad,Mobile,online data analytic,0.045871559633027525,0.02240032881216605,2.1722935779816512,47.356,5.693977531886139
A1046,Data Anlytics Corse,188.0,5857.0,222.98,20.0,4.0,0.048,1303.0,2024-11-11,Hyderabad,Desktop,data anaytics training,0.02127659574468085,0.032098343862045416,1.186063829787234,55.745,4.843573414656023
A1047,Data Analytics Corse,142.0,5103.0,234.1,24.0,3.0,0.021,1835.0,2024-11-08,Hyderbad,Mobile,analytics for data,0.02112676056338028,0.02782676856750931,1.6485915492957746,78.03333333333333,6.838530542503205
A1048,Data Analytcis Course,168.0,4653.0,240.84,27.0,9.0,0.054,1367.0,2024-11-24,Hydrebad,Mobile,online data analytic,0.05357142857142857,0.036105738233397806,1.4335714285714285,26.76,4.675967447267896
A1049,Data Analytcis Course,110.0,3524.0,248.86,19.0,10.0,0.091,1524.0,2024-11-21,Hyderbad,Mobile,learn data analytics,0.09090909090909091,0.031214528944381384,2.2623636363636366,24.886000000000003,5.123925098448926
A1050,Data Analytcis Course,192.0,5938.0,182.84,26.0,5.0,0.039,1080.0,2024-11-12,Hydrebad,Mobile,analytics for data,0.026041666666666668,0.03233411923206467,0.9522916666666666,36.568,4.906803762852767
A1051,Data Analytics Corse,101.0,3942.0,206.62,16.0,5.0,0.05,1746.0,2024-11-24,Hyderabad,Tablet,analytics for data,0.04950495049504951,0.025621511922881784,2.045742574257426,41.324,7.4502952279547
A1052,Data Analytics Corse,157.0,3315.0,189.56,15.0,10.0,0.064,1026.0,2024-11-25,Hyderabad,Mobile,online data analytic,0.06369426751592357,0.0473604826546003,1.2073885350318472,18.956,4.412534289934586
A1053,Data Anlytics Corse,113.0,4945.0,187.66,15.0,10.0,0.08849557522123894,1564.0,2024-11-26,Hyderabad,Tablet,learn data analytics,0.08849557522123894,0.022851365015166835,1.66070796460177,18.766,7.334221464350421
A1054,Data Analytcis Course,96.0,3166.0,196.15,29.0,7.0,0.073,1902.0,2024-11-26,Hyderabad,Desktop,learn data analytics,0.07291666666666667,0.030322173089071383,2.043229166666667,28.021428571428572,8.696660718837624
